#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,Channel_Type,Subscribers,Total_Views,Total_Videos
53,CarryMinati @carryminati,41.6M,9.2%,India,Video Gaming,12.5M,"Entertainment, Film",45500000,4379429831,207
54,ABS-CBN Entertainment @UCstEtN0pgOmCf02EdXsGChw,41.5M,-,Philippines,,12.5M,"Film, Television program, Entertainment",54800000,58825819387,254885
55,Shemaroo @UCF1JIbMUs6uqoZEY1Haw0GQ,41.2M,-,India,Celebrity,12.4M,"Film, Entertainment",61600000,27924271270,13728
56,Speed Records @UCOsyDsO5tIt-VZ1iwjdQmew,41.1M,-,India,Music,12.3M,"Music of Asia, Music, Pop music",48400000,36115459215,13164
57,elrubiusOMG @UCXazgXDIYyWH-yXLAkcrFxw,40.4M,1.7%,,,12.1M,"Lifestyle (sociology), Action-adventure game, Video game culture, Action game, Role-playing video game",40800000,8285022970,744
58,Little Baby Bum - Nursery Rhymes & Kids Songs @UCKAqou7V9FAWXpZd9xtOg3Q,40M,-,United States,,12M,"Entertainment, Film, Music",41700000,43962564556,3328
59,Voot Kids @UCJg19noZp7-BYIGvypu_cow,39.3M,-,India,,11.8M,"Humour, Television program, Film, Entertainment",58200000,17580867645,3679
60,Маша и Медведь @UCRv76wLBC73jiP7LX4C3l8Q,39.1M,-,Russia,,11.7M,"Television program, Film, Entertainment",60000000,53624025504,2572
61,LUCCAS NETO - LUCCAS TOON @UC_gV70G_Y51LTa3qhu8KiEA,38.6M,-,Brazil,,11.6M,"Entertainment, Lifestyle (sociology), Film",53400000,15278219454,4986
62,Luisito Comunica @UCECJDeK0MNapZbpaOzxrUPA,38.5M,0.1%,,,11.6M,"Tourism, Lifestyle (sociology)",45700000,11657649658,1461
63,Ishtar Music @UCWi_65E_L8tQZ34C6wVAlpQ,38.5M,-,India,Music Celebrity,11.6M,"Music, Music of Asia, Pop music",53100000,28459364904,6491
64,TheEllenShow @UCp0hYYBW6IMayGgR-WeoCvQ,38.3M,-,United States,,11.5M,"Television program, Entertainment, Film",38000000,23768059774,19006
65,Toys and Colors @UCgFXm4TI8htWmCyJ6cVPG_A,38.3M,-,United States,,11.5M,"Hobby, Lifestyle (sociology), Entertainment",82400000,117910362602,1813
66,Kimberly Loaiza @UCQZfFRohQ7UX-0CdXl-6pwQ,38.1M,0.9%,Mexico,,11.4M,"Lifestyle (sociology), Entertainment",47500000,7401274805,314
67,WorkpointOfficial @UC3ZkCd7XtUREnjjt3cyY_gg,38.1M,-,Thailand,,11.4M,"Entertainment, Television program, Film",43600000,43352137707,118147
68,XXXTENTACION @UCM9r1xn6s30OnlJWb-jc3Sw,37.8M,0.1%,United States,,11.3M,"Pop music, Hip hop music, Music, Electronic music",43000000,12458074379,137
69,Super Simple Songs - Kids Songs @UCLsooMJoIpl_7ux2jvdPB-Q,37.3M,-,Canada,Travel,11.2M,"Entertainment, Music, Film",46200000,61513929114,880
70,Shakira @UCYLNGLIzMhRTi6ZOLjAPSmw,37.1M,-,,,11.1M,"Music of Latin America, Music, Pop music, Lifestyle (sociology)",50100000,35882688973,405
71,GR6 EXPLODE @UCNUQK9mQoqi4yNXw2_Rj6SA,37.1M,-,,,11.1M,"Pop music, Music of Latin America, Music, Hip hop music",42900000,32084035409,3649
72,Daddy Yankee @UC9TO_oo4c_LrOiKNaY6aysA,37M,-,United States,Music,11.1M,"Music of Latin America, Music, Hip hop music, Pop music, Lifestyle (sociology)",41300000,27963227791,589
73,shfa @UCwHE1kM1CPJd_pI9FQ0-4dg,36.1M,0.1%,United Arab Emirates,,10.8M,"Lifestyle (sociology), Food",55900000,36453557193,1369
74,ช่อง one31 @UC8f7MkX4MFOOJ2SerXLInCA,35.9M,-,Thailand,,10.8M,"Entertainment, Television program, Film",44600000,34820524995,204076
75,shfa2 - شفا @UCQ7x25F6YXY9DvGeHFxLhRQ,35.6M,-,United Arab Emirates,,10.7M,Lifestyle (sociology),53500000,38222827606,2063
76,Goldmines Gaane Sune Ansune @UCtW7qWjpCZ8zps-Cf2NF26w,35.6M,-,India,,10.7M,"Entertainment, Music of Asia, Music, Film",49000000,17748414740,3198
77,TEDx Talks @UCsT0YIqwnpJCM-mx7-gSA4Q,35.5M,-,,,10.7M,Knowledge,44300000,8885567906,259183
